ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
287	11718011-01234028-51450007	HUF	4/18/2016		+IZV 00113992123 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
288	11718011-01234028-51450007	HUF	4/29/2016		Havi zarlati dij	01234567-98765432	-1059		101
289	11718011-01234028-51450007	HUF	4/29/2016		Konyvelesi teteldij	01234567-98765432	-33		101
290	11718011-01234028-51450007	HUF	4/29/2016		Konyvelesi teteldij-PTI	01234567-98765432	-4.99		101
291	11718011-01234028-51450007	HUF	4/29/2016		Konyvelesi teteldij-PTIKP	01234567-98765432	-300		101
292	11718011-01234028-51450007	HUF	5/17/2016		+IZV 00116809388 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
293	11718011-01234028-51450007	HUF	5/31/2016		Havi zarlati dij	01234567-98765432	-1059		101
294	11718011-01234028-51450007	HUF	5/31/2016		Konyvelesi teteldij	01234567-98765432	-11		101
295	11718011-01234028-51450007	HUF	5/31/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.22		101
296	11718011-01234028-51450007	HUF	6/16/2016		+IZV 00119886070 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
297	11718011-01234028-51450007	HUF	6/30/2016		Int.Appl. to   30/06/16	01234567-98765432	67.8		102
298	11718011-01234028-51450007	HUF	6/30/2016		CRT to         30/06/16	01234567-98765432	-10.17		101
299	11718011-01234028-51450007	HUF	6/30/2016		Havi zarlati dij	01234567-98765432	-1059		101
300	11718011-01234028-51450007	HUF	6/30/2016		Konyvelesi teteldij	01234567-98765432	-11		101
301	11718011-01234028-51450007	HUF	6/30/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.22		101
302	11718011-01234028-51450007	HUF	7/18/2016		+IZV 00122890683 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
303	11718011-01234028-51450007	HUF	7/29/2016		Havi zarlati dij	01234567-98765432	-1059		101
304	11718011-01234028-51450007	HUF	7/29/2016		Konyvelesi teteldij	01234567-98765432	-11		101
305	11718011-01234028-51450007	HUF	7/29/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.22		101
306	11718011-01234028-51450007	HUF	8/16/2016		+IZV 00125708659 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
307	11718011-01234028-51450007	HUF	8/24/2016		CASH WITHDRAWAL CAK-LCW/1173/A/0005	01234567-98765432	-60000		111
308	11718011-01234028-51450007	HUF	8/24/2016		CASHIER TRANSACTION FEES CAK-LCW/1173/A/0005	01234567-98765432	-268		101
309	11718011-01234028-51450007	HUF	8/31/2016		Havi zarlati dij	01234567-98765432	-1059		101
310	11718011-01234028-51450007	HUF	8/31/2016		Konyvelesi teteldij	01234567-98765432	-22		101
311	11718011-01234028-51450007	HUF	8/31/2016		Konyvelesi teteldij-PTI	01234567-98765432	-5.14		101
312	11718011-01234028-51450007	HUF	8/31/2016		Konyvelesi teteldij-PTIKP	01234567-98765432	-360		101
313	11718011-01234028-51450007	HUF	9/2/2016		CASH DEPOSIT SZABO Tibor KOZOS KTG.	01234567-98765432	63000		6
